[|315;315|, |315;315|, |315;315|, |315;315|, |315;315|]
[|315;308|, |315;315|, |315;315|, |315;315|, |315;315|]
[|315;301|, |315;308|, |315;315|, |315;315|, |315;315|]
[|315;294|, |315;301|, |315;308|, |315;315|, |315;315|]
[|315;287|, |315;294|, |315;301|, |315;308|, |315;315|]
[|315;280|, |315;287|, |315;294|, |315;301|, |315;308|]
[|315;273|, |315;280|, |315;287|, |315;294|, |315;301|]
[|315;266|, |315;273|, |315;280|, |315;287|, |315;294|]
[|315;259|, |315;266|, |315;273|, |315;280|, |315;287|]
[|315;252|, |315;259|, |315;266|, |315;273|, |315;280|]
[|315;245|, |315;252|, |315;259|, |315;266|, |315;273|]
[|315;238|, |315;245|, |315;252|, |315;259|, |315;266|]
[|315;231|, |315;238|, |315;245|, |315;252|, |315;259|]
[|315;224|, |315;231|, |315;238|, |315;245|, |315;252|]
[|315;217|, |315;224|, |315;231|, |315;238|, |315;245|]
[|315;210|, |315;217|, |315;224|, |315;231|, |315;238|]
[|315;203|, |315;210|, |315;217|, |315;224|, |315;231|]
[|315;196|, |315;203|, |315;210|, |315;217|, |315;224|]
[|315;189|, |315;196|, |315;203|, |315;210|, |315;217|]
[|315;182|, |315;189|, |315;196|, |315;203|, |315;210|]
[|315;175|, |315;182|, |315;189|, |315;196|, |315;203|]
[|315;168|, |315;175|, |315;182|, |315;189|, |315;196|]
[|315;161|, |315;168|, |315;175|, |315;182|, |315;189|]
[|315;154|, |315;161|, |315;168|, |315;175|, |315;182|]
[|315;147|, |315;154|, |315;161|, |315;168|, |315;175|]
[|315;140|, |315;147|, |315;154|, |315;161|, |315;168|]
[|315;133|, |315;140|, |315;147|, |315;154|, |315;161|]
[|315;126|, |315;133|, |315;140|, |315;147|, |315;154|]
[|315;119|, |315;126|, |315;133|, |315;140|, |315;147|]
[|315;112|, |315;119|, |315;126|, |315;133|, |315;140|]
[|315;105|, |315;112|, |315;119|, |315;126|, |315;133|]
[|308;105|, |315;105|, |315;112|, |315;119|, |315;126|]
[|301;105|, |308;105|, |315;105|, |315;112|, |315;119|]
[|294;105|, |301;105|, |308;105|, |315;105|, |315;112|]
[|287;105|, |294;105|, |301;105|, |308;105|, |315;105|]
[|280;105|, |287;105|, |294;105|, |301;105|, |308;105|]
[|273;105|, |280;105|, |287;105|, |294;105|, |301;105|]
[|266;105|, |273;105|, |280;105|, |287;105|, |294;105|]
[|259;105|, |266;105|, |273;105|, |280;105|, |287;105|]
[|252;105|, |259;105|, |266;105|, |273;105|, |280;105|]
[|245;105|, |252;105|, |259;105|, |266;105|, |273;105|]
[|238;105|, |245;105|, |252;105|, |259;105|, |266;105|]
[|231;105|, |238;105|, |245;105|, |252;105|, |259;105|]
[|224;105|, |231;105|, |238;105|, |245;105|, |252;105|]
[|217;105|, |224;105|, |231;105|, |238;105|, |245;105|]
[|210;105|, |217;105|, |224;105|, |231;105|, |238;105|]
[|203;105|, |210;105|, |217;105|, |224;105|, |231;105|]
[|196;105|, |203;105|, |210;105|, |217;105|, |224;105|]
[|189;105|, |196;105|, |203;105|, |210;105|, |217;105|]
[|182;105|, |189;105|, |196;105|, |203;105|, |210;105|]
[|175;105|, |182;105|, |189;105|, |196;105|, |203;105|]
[|168;105|, |175;105|, |182;105|, |189;105|, |196;105|]
[|161;105|, |168;105|, |175;105|, |182;105|, |189;105|]
[|154;105|, |161;105|, |168;105|, |175;105|, |182;105|]
[|147;105|, |154;105|, |161;105|, |168;105|, |175;105|]
[|140;105|, |147;105|, |154;105|, |161;105|, |168;105|]
[|133;105|, |140;105|, |147;105|, |154;105|, |161;105|]
[|126;105|, |133;105|, |140;105|, |147;105|, |154;105|]
